caldt,T-bill,Mkt Index,Your Portfolio
20110914,0,1.45,1.714
20110915,0,1.64,0.956
20110916,0,0.47,1.022
20110919,0,-0.99,0.87
20110920,0,-0.45,-0.408
20110921,0,-2.92,-1.54
20110922,0,-3.29,-3.386
20110923,0,0.74,0.224
20110926,0,2.28,0.87
20110927,0,1.22,1.592
20110928,0,-2.29,-1.972
20110929,0,0.77,-1.54
20110930,0,-2.5,-2.032
20111003,0,-3.18,-2.148
20111004,0,2.68,1.534
20111005,0,1.92,1.926
20111006,0,1.94,1.004
20111007,0,-0.98,0.892
20111010,0,3.44,2.768
20111011,0,0.15,0.06
20111012,0,1.07,-0.274
20111013,0,-0.21,1.056
20111014,0,1.72,2.044
20111017,0,-2.06,-1.256
20111018,0,2.11,-0.038
20111019,0,-1.38,-1.332
20111020,0,0.43,-0.26
20111021,0,1.92,1.62
20111024,0,1.59,1.014
20111025,0,-2.13,-1.332
20111026,0,1.12,0.238
20111027,0,3.54,1.458
20111028,0,-0.01,-0.01
20111031,0,-2.5,-0.676
20111101,0,-2.86,-1.168
20111102,0,1.72,0.592
20111103,0,1.97,1.868
20111104,0,-0.53,-0.242
20111107,0,0.48,0.174
20111108,0,1.21,0.67
20111109,0,-3.78,-2.304
20111110,0,0.83,0.44
20111111,0,1.98,1.86
20111114,0,-0.92,0.064
20111115,0,0.56,0.95
20111116,0,-1.64,-1.358
20111117,0,-1.65,-1.038
20111118,0,-0.07,-0.658
20111121,0,-1.87,-1.276
20111122,0,-0.44,0.454
20111123,0,-2.29,-1.666
20111125,0,-0.34,-0.646
20111128,0,3.1,3.28
20111129,0,0.18,0.396
20111130,0,4.44,2.658
20111201,0,-0.22,0.338
20111202,0,0.05,-0.652
20111205,0,1.09,0.334
20111206,0,0.04,0.04
20111207,0,0.16,-0.536
20111208,0,-2.23,-0.586
20111209,0,1.83,1.398
20111212,0,-1.48,-0.598
20111213,0,-1.05,-0.438
20111214,0,-1.21,-1.636
20111215,0,0.4,0.514
20111216,0,0.45,0.714
20111219,0,-1.31,0.196
20111220,0,3.1,2.194
20111221,0,0.2,-0.646
20111222,0,0.83,-0.664
20111223,0,0.84,1.164
20111227,0,0.04,0.964
20111228,0,-1.34,-0.794
20111229,0,1.1,0.572
20111230,0,-0.4,-0.712
20120103,0,1.5,-0.594
20120104,0,0,0.018
20120105,0,0.39,-0.042
20120106,0,-0.19,-0.07
20120109,0,0.28,0.112
20120110,0,0.97,0.052
20120111,0,0.13,-0.854
20120112,0,0.31,-0.02
20120113,0,-0.52,0.38
20120117,0,0.36,1.254
20120118,0,1.22,0.098
20120119,0,0.51,-0.042
20120120,0,0.03,-0.726
20120123,0,0.02,-0.328
20120124,0,0,0.066
20120125,0,0.91,1.288
20120126,0,-0.59,-0.104
20120127,0,0.01,-0.29
20120130,0,-0.31,0.314
20120131,0,-0.05,0.076
20120201,0,1.1,0.404
20120202,0,0.17,-0.112
20120203,0,1.58,0.5
20120206,0,-0.05,-0.098
20120207,0,0.16,0.4
20120208,0,0.25,-0.266
20120209,0,0.15,0.54
20120210,0,-0.75,-0.09
20120213,0,0.75,0.918
20120214,0,-0.09,0.528
20120215,0,-0.5,-0.83
20120216,0,1.27,0.526
20120217,0,0.16,-0.224
20120221,0,-0.05,-0.164
20120222,0,-0.39,0.336
20120223,0,0.56,0.518
20120224,0,0.15,0.636
20120227,0,0.14,-0.016
20120228,0,0.28,0.502
20120229,0,-0.55,-0.262
20120301,0,0.64,0.442
20120302,0,-0.46,-0.244
20120305,0,-0.4,0.194
20120306,0,-1.62,-0.756
20120307,0,0.8,0.392
20120308,0,1.07,1.166
20120309,0,0.49,0.166
20120312,0,-0.07,0.422
20120313,0,1.86,0.6
20120314,0,-0.23,0.136
20120315,0,0.67,-0.338
20120316,0,0.06,-0.714
20120319,0,0.41,0.554
20120320,0,-0.39,-0.498
20120321,0,-0.1,0.32
20120322,0,-0.74,0.268
20120323,0,0.39,-0.114
20120326,0,1.45,1.63
20120327,0,-0.3,0.192
20120328,0,-0.51,-0.45
20120329,0,-0.16,0.044
20120330,0,0.28,0.208
20120402,0,0.77,0.734
20120403,0,-0.34,0.452
20120404,0,-1.11,-0.618
20120405,0,-0.03,0.822
20120409,0,-1.21,-0.754
20120410,0,-1.85,-1.796
20120411,0,0.85,0.484
20120412,0,1.44,0.438
20120413,0,-1.25,0.034
20120416,0,-0.09,-0.6
20120417,0,1.55,1.43
20120418,0,-0.43,0.164
